participantId,condition,query_count
5648e4bf20453f0012c5ad3a,with_llm_extended,26
594dd3de0dd7710001aeb5e9,with_llm_extended,1
59dbd41ac0d35a0001294aa0,with_llm,7
5a068d5b074b190001251791,with_llm_extended,2
5ade558c066c510001d43615,with_llm,1
5b490bd59afec90001009679,with_llm,1
5c4277ac1242910001bdbf1a,with_llm,2
5c509487172b6c0001779b34,with_llm,4
5c86d5a58085800016135bd2,with_llm,2
5ca62a239ffcce0001036b6b,with_llm_extended,2
5d9b7c7efaa2860364b16476,with_llm,3
5e1f06e67a9ded238481246e,with_llm_extended,1
5e6155e6f169c0046b6d6518,with_llm_extended,1
5e6e6497d33339419afd90f9,with_llm_extended,1
5e7ca836a60b642ec70880b1,with_llm_extended,1
5e8307bae3b23d01d2259e4c,with_llm,2
5e999a581e025f1cfd5e7090,with_llm_extended,2
5ea9cc9195f36c126a27d0a7,with_llm_extended,3
5eb7c006b839846ea7a24178,with_llm_extended,37
5f6e76757befe43b22307387,with_llm_extended,11
5ff454f2f0b5ed607169fba6,with_llm_extended,2
601ac0440ae554365a73246b,with_llm_extended,1
60d4558116de644bde568dde,with_llm,3
60e308bd29d04d6d790aa1ad,with_llm_extended,36
612198f856c9f4f2f02f7046,with_llm_extended,2
6127b32b912465823dca1e4b,with_llm_extended,22
613c927a3da2129cd285ef58,with_llm_extended,3
61680035775d6be6c3034464,with_llm_extended,2
61684f48083b66cd4a37dfbb,with_llm_extended,2
62b437a2dbff0b6b3d0121e4,with_llm_extended,4
62da6a553aaca6fffb50307f,with_llm_extended,1
6328ea8c44e1e6f7180facd3,with_llm_extended,4
6384fc5695a4edef691103c0,with_llm_extended,1
63cfefc43323e05d2a6f554b,with_llm,11
63d023f75eaafe675b6fa5fd,with_llm_extended,13
63efe25e481b721d4bcd9639,with_llm_extended,7
65216075939674db7a47e7d0,with_llm_extended,2
653ab786a5162b73aac38bc9,with_llm,8
654142b51c0cbebefa6f3ea0,with_llm_extended,3
654a56ff9b8baf6c84eb9b69,with_llm,5
65706b89d4c6c32963d258e8,with_llm_extended,2
659d4aadab2eb6b7a8cffb07,with_llm,2
659d6ca29e5500da27f1cb5b,with_llm,14
65b8b2bf8b3905b0efcb0fd3,with_llm_extended,4
65de3af8fcbc6ef9331bd863,with_llm,5
65ef950203e4e8448c55e54c,with_llm_extended,1
65f684e029d7c63f3338aed7,with_llm,5
660477cf6f52f75e86f4f349,with_llm_extended,2
661149a91b7fad3a3d2caf0c,with_llm_extended,2
662266d75f37a6781e7d67d7,with_llm_extended,9
6629396278644f7ca5e5d017,with_llm_extended,10
6647187677519b0df9ecb716,with_llm,2
66520da15457a5e65d2ec66f,with_llm,1
6659fdc13bceed5a87541da4,with_llm,2
665b5ab06f53305291fbf9cc,with_llm_extended,2
