participantId,experimentId,createdAt,completedAt,country,condition,status,reading_id,quiz_id,review_id,llm_interaction_id,pretask_strategy1,pretask_strategy2,pretask_strategy3,pretask_strategy4,pretask_strategy5,pretask_strategy6,pretask_strategy7,pretask_strategy8,pretask_strategy9,pretask_strategy10,pretask_confidence,pretask_approachClarity,pretask_challenges,pretask_completedAt,posttask_strategy1,posttask_strategy2,posttask_strategy3,posttask_strategy4,posttask_strategy5,posttask_strategy6,posttask_strategy7,posttask_strategy8,posttask_strategy9,posttask_strategy10,posttask_newStrategyConfidence,posttask_implementationLikelihood,posttask_thinkingChange,posttask_completedAt,quiz_duration,quiz_totalQuestions,quiz_correctCount,quiz_notSureCount,quiz_accuracy,quiz_acc_low,quiz_acc_med,quiz_acc_high,quiz_confidence,quiz_answer_1,quiz_correct_1,quiz_answer_2,quiz_correct_2,quiz_answer_3,quiz_correct_3,quiz_answer_4,quiz_correct_4,quiz_answer_5,quiz_correct_5,quiz_answer_6,quiz_correct_6,quiz_answer_7,quiz_correct_7,quiz_answer_8,quiz_correct_8,quiz_answer_9,quiz_correct_9,reading_reading_id,reading_totalEvents,reading_duration,reading_focusTime_reading,reading_focusTime_chat,reading_reading_count,reading_reading_totalDuration,reading_scanning_count,reading_scanning_totalDuration,reading_scrolling_count,reading_scrolling_totalDuration,nasaTLX_mentalDemand,nasaTLX_physicalDemand,nasaTLX_temporalDemand,nasaTLX_effort,nasaTLX_frustration,selfEfficacy_performance,selfEfficacy_overallGoal,selfEfficacy_authorsReasoning,selfEfficacy_connectingIdeas,selfEfficacy_ownIdeas,selfEfficacy_alternativePerspectives,selfEfficacy_verifyCredibility,selfEfficacy_questionClaims,selfEfficacy_broaderImplications,llmUsefulness_overall,llmUsefulness_conceptHelp,llmUsefulness_findingsHelp,llmUsefulness_practicalHelp,llmUsefulness_timeSaving,llmTrust_competence,llmTrust_accuracy,llmTrust_benevolence,llmTrust_reliability,llmTrust_comfortActing,llmTrust_comfortUsing,attentionCheck_focus,attentionCheck_stronglyDisagreeCheck,demographics_age,demographics_gender,demographics_education,demographics_englishProficiency,demographics_workingSituation,demographics_workHoursPerWeek,demographics_yearsInOrganization,demographics_yearsInJob,demographics_jobTitle,demographics_industry,demographics_ethnicity,aiUsage_frequency,aiUsage_toolsUsed,aiUsage_purposes,studyFeedback,surveyCompletedAt
65b8b2bf8b3905b0efcb0fd3,qkIhuXZUZ1BhWPjhoECv,2025-12-19T13:52:12.731Z,2025-12-19T14:32:53.426Z,US,with_llm_extended,completed,qkIhuXZUZ1BhWPjhoECv_reading,qkIhuXZUZ1BhWPjhoECv_quiz,,qkIhuXZUZ1BhWPjhoECv_llm,sent an agenda inadvance with clear goals,ssked direct questions to involve quiet member,,,,,,,,,5,2,several people joined late which disrupted flow and somediscussion drifted off topic at times and also a participant dominated airtime,2025-12-19T13:52:12.731Z,sent an agenda inadvance with clear goals,ssked direct questions to involve quiet member,,,,,,,,,4,7,6,2025-12-19T14:22:47.411Z,382781,9,7,0,77.8,100.0,100.0,33.3,6,"To apply scientific findings about activities before, during, and after meetings to improve their success.",True,"Before, During, and After.",True,Their value is often questioned and they are viewed as a routine necessity.,True,"To share routine, nonurgent information without discussion.",True,They can stimulate positive behaviors that predict team performance.,True,To facilitate follow-through by clarifying action plans and responsibilities.,True,Carefully selecting relevant attendees before a meeting can positively impact their long-term job satisfaction.,True,The use of advanced technology and the enforcement of punctuality.,False,Implement a strict policy that all meetings must start on time and have an agenda.,False,qkIhuXZUZ1BhWPjhoECv_reading,83,1335376,678530,447327,11,621150,4,15195,14,13131,4,7,4,6,2,7,6,7,4,2,7,4,6,6,6,7,3,6,5,1,6,6,7,2,4,4,1,49,male,doctorate,native,full-time,38,11,11,auditor,finance,white,rarely,ChatGPT,"Research/Information gathering, Brainstorming/Ideation",,2025-12-19T14:32:53.426Z
694555b4beadda60a5901ec0,rjW7eqqZYDMen6bQAysY,2025-12-19T18:35:50.970Z,2025-12-19T19:05:13.292Z,US,without_llm,completed,rjW7eqqZYDMen6bQAysY_reading,rjW7eqqZYDMen6bQAysY_quiz,,,Define a desired outcome,Set an agenda,Make sure everyone understands meeting jargons,,,,,,,,7,6,"The main difficulty is participation, but that's mainly because people are scared to say something that can potentially embarrass them in the meeting. That's something we need to work on.",2025-12-19T18:35:50.970Z,Define a desired outcome,Set an agenda with clear time management,Make sure everyone understands meeting jargons,,,,,,,,5,6,4,2025-12-19T19:03:52.670Z,322017,9,5,2,55.6,66.7,66.7,33.3,4,"To apply scientific findings about activities before, during, and after meetings to improve their success.",True,Not Sure,False,Their value is often questioned and they are viewed as a routine necessity.,True,Not Sure,False,They can stimulate positive behaviors that predict team performance.,True,To facilitate follow-through by clarifying action plans and responsibilities.,True,"Job satisfaction is primarily linked to meeting length, which is determined before the meeting begins.",False,The frequency of meetings and the long-term career growth of participants.,False,"Systematically survey meeting satisfaction, use the feedback to re-evaluate routine meetings, and adjust their design accordingly.",True,rjW7eqqZYDMen6bQAysY_reading,20,1294243,1294243,0,6,517175,0,0,13,6404,6,1,6,6,3,4,5,6,6,5,6,6,5,7,,,,,,,,,,,,4,5,29,male,bachelor,native,full-time,40,2,2,Data Analyst,Marketing and Advertising,black,rarely,,Coding assistance,,2025-12-19T19:05:13.292Z
6740b01583cadef1afebeb9d,oiyVQ948mhc54wPpf2wk,2025-12-19T18:55:16.971Z,2025-12-19T19:24:58.874Z,US,with_llm_extended,completed,oiyVQ948mhc54wPpf2wk_reading,oiyVQ948mhc54wPpf2wk_quiz,,oiyVQ948mhc54wPpf2wk_llm,Delivering the intended topic of discussion to the members prior to the meeting. ,,,,,,,,,,6,6,I was afraid that people may judge me for not supporting their points contributed during the meeting.,2025-12-19T18:55:16.971Z,Delivering the intended topic of discussion to the members prior to the meeting. ,,,,,,,,,,7,7,5,2025-12-19T19:20:16.801Z,77000,9,0,9,0,0.0,0.0,0.0,5,Not Sure,False,Not Sure,False,Not Sure,False,Not Sure,False,Not Sure,False,Not Sure,False,Not Sure,False,Not Sure,False,Not Sure,False,oiyVQ948mhc54wPpf2wk_reading,39,1332415,186688,1145715,5,148664,5,19705,12,6895,7,7,4,6,3,2,1,4,2,5,2,2,6,6,7,6,2,2,6,6,2,2,6,5,6,4,1,37,male,master,native,full-time,40,4,7,Senior Data Scientist,IT,black,often,ChatGPT,"Brainstorming/Ideation, Writing assistance",No,2025-12-19T19:24:58.874Z
5f4ae7cb6b68b56c2acb12c8,156ITSNqPsuY5IfL2Zbo,2025-12-19T18:55:25.021Z,2025-12-19T19:31:55.722Z,US,without_llm,completed,156ITSNqPsuY5IfL2Zbo_reading,156ITSNqPsuY5IfL2Zbo_quiz,,,Set a time limit,Organize agenda,define purpose of the meeting,keep on track with purpose and bookmark side discussions for later,ensure meetings are regular and ongoing to avoid marathons,,,,,,6,6,"Sometimes our team wants to try to solve everything in one sitting (marathons) and while this works for some, it is not effective for long term success. So it is a challenge, ongoing, to keep on track and ensure that meetings are concise, effective and to the point. A recent meeting I led was no exception, but as we have been putting the strategies into practice this year, we have cut back on meeting burnout and I was able to remind everyone of the intention, time limit, and organized agenda. Basically, the challenge is to remain committed to the meeting ""huddle"" as opposed to the laundry list marathon.",2025-12-19T18:55:25.021Z,Set a time limit,Organize agenda,define purpose of the meeting,keep on track with purpose and bookmark side discussions for later,"ensure meetings are regular, as needed, to avoid marathons","provide a meeting summary post-meeting including decisions, action steps, and assignments",provide meeting agenda in advance to attendees,,,,6,7,3,2025-12-19T19:24:51.356Z,248991,9,9,0,100,100.0,100.0,100.0,5,"To apply scientific findings about activities before, during, and after meetings to improve their success.",True,"Before, During, and After.",True,Their value is often questioned and they are viewed as a routine necessity.,True,"To share routine, nonurgent information without discussion.",True,They can stimulate positive behaviors that predict team performance.,True,To facilitate follow-through by clarifying action plans and responsibilities.,True,Carefully selecting relevant attendees before a meeting can positively impact their long-term job satisfaction.,True,The structural design before the meeting and active facilitation during the meeting.,True,"Systematically survey meeting satisfaction, use the feedback to re-evaluate routine meetings, and adjust their design accordingly.",True,156ITSNqPsuY5IfL2Zbo_reading,100,1352826,1352826,0,32,1132633,9,24825,58,32592,4,1,1,5,1,6,6,6,6,7,5,1,3,6,,,,,,,,,,,,5,1,45,female,high-school,native,full-time,34,8,5,Project Manager,Education,white,often,ChatGPT and Claude,"Brainstorming/Ideation, Summarization, Research/Information gathering, Writing assistance, Other","I have been to meetings like those that seemed to be discussed in the article. In my organization, we tend to naturally do some of the outlined suggestions such as only inviting those relevant to the meeting. Most in our organization that would and do attend necessary meetings tend to be high performers anyway, so our main issue is meeting length. We have done too many marathons over the years, as many of us actually work quite independently from each other and departments are small, so there is some burn out from the past. We would put off meeting, but then when we did meet, there would be a lot to discuss piled up. Now we have learned to hold more regular and concise meetings to avoid this, and have been able to be much more effective and less dreading these long and tedious meetings.",2025-12-19T19:31:55.722Z
672eeebde600098b4b65d4a8,5GPy1vmDVWseQVgw8i4v,2025-12-19T19:00:08.870Z,2025-12-19T19:32:20.322Z,US,without_llm,completed,5GPy1vmDVWseQVgw8i4v_reading,5GPy1vmDVWseQVgw8i4v_quiz,,,Shared a clear agenda and goals at the beginning so everyone knew what we were trying to accomplish,Encouraged quieter participants to share their input so it wasn’t dominated by just a few voices),,,,,,,,,5,6,"A challenge was keeping the meeting on time while still allowing enough space for discussion. A few topics took longer than expected, so I had to balance moving things forward without cutting people off.",2025-12-19T19:00:08.870Z,Shared a clear agenda and goals at the beginning so everyone knew what we were trying to accomplish,Encouraged quieter participants to share their input so it wasn’t dominated by just a few voices),Send meeting minutes after to recap and facilitate for follow through,,,,,,,,5,6,4,2025-12-19T19:29:19.626Z,189384,9,9,0,100,100.0,100.0,100.0,6,"To apply scientific findings about activities before, during, and after meetings to improve their success.",True,"Before, During, and After.",True,Their value is often questioned and they are viewed as a routine necessity.,True,"To share routine, nonurgent information without discussion.",True,They can stimulate positive behaviors that predict team performance.,True,To facilitate follow-through by clarifying action plans and responsibilities.,True,Carefully selecting relevant attendees before a meeting can positively impact their long-term job satisfaction.,True,The structural design before the meeting and active facilitation during the meeting.,True,"Systematically survey meeting satisfaction, use the feedback to re-evaluate routine meetings, and adjust their design accordingly.",True,5GPy1vmDVWseQVgw8i4v_reading,20,1351841,1351840,0,20,741007,1,3455,2,619,5,1,2,5,2,6,6,5,6,6,4,3,4,6,,,,,,,,,,,,5,1,63,female,bachelor,native,full-time,45,9,9,Lead artist,Arts and Entertainment,white,very-often,"ChatGPT, Perplexity","Brainstorming/Ideation, Research/Information gathering, Other",,2025-12-19T19:32:20.322Z
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,2025-12-19T19:00:25.449Z,2025-12-19T19:28:08.565Z,US,with_llm_extended,completed,Wv5EruGYDP0p9jtKO33l_reading,Wv5EruGYDP0p9jtKO33l_quiz,,Wv5EruGYDP0p9jtKO33l_llm,There was a call for agenda items before the meeting happened.,I spoke with the different groups of people to ensure that everyone who was needed could make it,I took notes for the meeting,I asked individual people for their input,,,,,,,6,6,"It was an online meeting and there was one individual who had trouble with their microphone and camera.  A few other times, people spoke over each other.",2025-12-19T19:00:25.449Z,There was a call for agenda items before the meeting happened.,I spoke with the different groups of people to ensure that everyone who was needed could make it,I took notes for the meeting,I asked individual people for their input,Send out the notes/minutes from the meeting,Ask for feedback,,,,,6,6,2,2025-12-19T19:26:07.586Z,134136,9,7,0,77.8,100.0,66.7,66.7,6,"To apply scientific findings about activities before, during, and after meetings to improve their success.",True,"Before, During, and After.",True,Their value is often questioned and they are viewed as a routine necessity.,True,To develop and implement an organizational strategy.,False,They can stimulate positive behaviors that predict team performance.,True,To facilitate follow-through by clarifying action plans and responsibilities.,True,"Job satisfaction is primarily linked to meeting length, which is determined before the meeting begins.",False,The structural design before the meeting and active facilitation during the meeting.,True,"Systematically survey meeting satisfaction, use the feedback to re-evaluate routine meetings, and adjust their design accordingly.",True,Wv5EruGYDP0p9jtKO33l_reading,102,1319931,513586,323689,22,447503,8,30794,29,12595,2,1,1,7,1,7,7,7,7,6,2,6,6,6,5,4,4,6,2,7,7,7,3,5,5,5,1,42,male,bachelor,native,full-time,140,18,7,Project Manager,Education,white,often,"ChatGPT, Copilot, and Gemini","Writing assistance, Research/Information gathering, Brainstorming/Ideation, Summarization",,2025-12-19T19:28:08.565Z
678850e350af39b7032dd102,HvVTCjwKsAkSuyrRLs2S,2025-12-19T19:13:25.665Z,2025-12-19T19:50:26.261Z,US,without_llm,completed,HvVTCjwKsAkSuyrRLs2S_reading,HvVTCjwKsAkSuyrRLs2S_quiz,,,Created and shared a clear agenda in advance.,Assigned time limits for each discussion topic to stay on track.,Encouraged participation by asking specific team members for input.,Summarized key points and action items at the end of the meeting.,,,,,,,6,6,"Some participants went off-topic, making it harder to cover all agenda items. Time constraints limited the depth of some discussions, and a few attendees were hesitant to share their opinions.",2025-12-19T19:13:25.665Z,Evaluate whether the meeting is truly necessary,Be more intentional about who is invited,Actively manage meeting dynamics during the discussion,Follow up more deliberately after the meeting,,,,,,,6,7,6,2025-12-19T19:41:19.898Z,133367,9,9,0,100,100.0,100.0,100.0,6,"To apply scientific findings about activities before, during, and after meetings to improve their success.",True,"Before, During, and After.",True,Their value is often questioned and they are viewed as a routine necessity.,True,"To share routine, nonurgent information without discussion.",True,They can stimulate positive behaviors that predict team performance.,True,To facilitate follow-through by clarifying action plans and responsibilities.,True,Carefully selecting relevant attendees before a meeting can positively impact their long-term job satisfaction.,True,The structural design before the meeting and active facilitation during the meeting.,True,"Systematically survey meeting satisfaction, use the feedback to re-evaluate routine meetings, and adjust their design accordingly.",True,HvVTCjwKsAkSuyrRLs2S_reading,68,1296927,1296927,0,11,884665,7,22854,70,24161,5,2,2,5,2,6,6,6,6,6,4,4,5,6,,,,,,,,,,,,5,1,43,female,master,native,full-time,40,17,12,Finance manager,Finance,white,sometimes,"ChatGPT, Claude, and Gemini",Brainstorming/Ideation,,2025-12-19T19:50:26.261Z
66708fa4dfe022dbed4cae9c,XSJjhwYDnQIcank5ykoA,2025-12-19T19:17:20.735Z,2025-12-19T20:03:47.218Z,US,with_llm,completed,XSJjhwYDnQIcank5ykoA_reading,XSJjhwYDnQIcank5ykoA_quiz,,,I organized my data efficiently.,I drafted a summary and conclusion to showcase the important parts.,,,,,,,,,5,5,The only real difficulty I had was managing my time in showcasing the important parts since there was discussion after each point.,2025-12-19T19:17:20.735Z,I organized my data efficiently.,I drafted a summary and conclusion to showcase the important parts.,,,,,,,,,4,4,6,2025-12-19T20:01:46.576Z,253621,9,9,0,100,100.0,100.0,100.0,4,"To apply scientific findings about activities before, during, and after meetings to improve their success.",True,"Before, During, and After.",True,Their value is often questioned and they are viewed as a routine necessity.,True,"To share routine, nonurgent information without discussion.",True,They can stimulate positive behaviors that predict team performance.,True,To facilitate follow-through by clarifying action plans and responsibilities.,True,Carefully selecting relevant attendees before a meeting can positively impact their long-term job satisfaction.,True,The structural design before the meeting and active facilitation during the meeting.,True,"Systematically survey meeting satisfaction, use the feedback to re-evaluate routine meetings, and adjust their design accordingly.",True,XSJjhwYDnQIcank5ykoA_reading,20,2380087,603355,1776730,3,583462,1,2149,17,7183,3,3,2,7,3,5,5,5,5,3,3,5,4,6,4,4,4,4,4,4,4,4,4,5,5,5,1,22,female,associate,native,full-time,40,3,3,Front of House Manager,Hospitality,"asian, white, hispanic",rarely,,"Summarization, Research/Information gathering",,2025-12-19T20:03:47.218Z
692c55a22b643604a1e5b2b7,XwWZCGyQQSeFkocDmgmk,2025-12-19T19:22:07.426Z,2025-12-19T19:50:03.559Z,US,with_llm_extended,completed,XwWZCGyQQSeFkocDmgmk_reading,XwWZCGyQQSeFkocDmgmk_quiz,,,Brought an itinerary,Assigned tasks,Following up after,,,,,,,,5,6,One colleague was unable to share their screen because of spotty internet while they were travelling.,2025-12-19T19:22:07.426Z,Brought an itinerary,Assigned tasks,Following up after,Select key individuals ,,,,,,,4,5,2,2025-12-19T19:47:11.644Z,115505,9,7,0,77.8,66.7,66.7,100.0,6,"To apply scientific findings about activities before, during, and after meetings to improve their success.",True,"Planning, Execution, and Follow-up.",False,Their value is often questioned and they are viewed as a routine necessity.,True,To solve a new problem that requires different expertise.,False,They can stimulate positive behaviors that predict team performance.,True,To facilitate follow-through by clarifying action plans and responsibilities.,True,Carefully selecting relevant attendees before a meeting can positively impact their long-term job satisfaction.,True,The structural design before the meeting and active facilitation during the meeting.,True,"Systematically survey meeting satisfaction, use the feedback to re-evaluate routine meetings, and adjust their design accordingly.",True,XwWZCGyQQSeFkocDmgmk_reading,106,1292407,1242669,3777,31,1136224,13,44621,32,21042,3,1,5,4,2,6,7,6,6,7,3,3,2,7,2,3,3,3,2,5,5,4,1,2,2,5,1,30,male,bachelor,native,full-time,50,2,5,Buyer,Retail,white,very-often,"ChatGPT, Claude","Writing assistance, Research/Information gathering, Brainstorming/Ideation, Translation",,2025-12-19T19:50:03.559Z
66d921d24ea620ae6b29d74b,0jfyW2yC02vnNyvPBdiw,2025-12-19T19:26:28.884Z,2025-12-19T20:05:13.652Z,US,with_llm,completed,0jfyW2yC02vnNyvPBdiw_reading,0jfyW2yC02vnNyvPBdiw_quiz,,,I made sure I could be heard loud and clear. ,I kept the audience engaged with the meeting. ,I asked them if they had any questions.,,,,,,,,6,7,I didn't have any challenges or difficulties with the meeting.,2025-12-19T19:26:28.884Z,I kept the audience engaged with the meeting. ,I asked them if they had any questions.,I told them the plans that I had forward to solve the problems .,I made it a fun meeting.,,,,,,,7,7,7,2025-12-19T19:59:05.049Z,414889,9,5,1,55.6,100.0,66.7,0.0,4,"To apply scientific findings about activities before, during, and after meetings to improve their success.",True,"Before, During, and After.",True,Their value is often questioned and they are viewed as a routine necessity.,True,To develop and implement an organizational strategy.,False,They can stimulate positive behaviors that predict team performance.,True,To facilitate follow-through by clarifying action plans and responsibilities.,True,"Job satisfaction is primarily linked to meeting length, which is determined before the meeting begins.",False,Not Sure,False,Invest heavily in videoconferencing technology to reduce the need for in-person meetings.,False,0jfyW2yC02vnNyvPBdiw_reading,61,1274019,1262136,11875,36,1177397,4,11685,15,7900,6,3,7,6,5,6,6,6,6,5,4,3,4,5,1,1,1,1,1,1,1,1,1,1,1,5,1,60,female,bachelor,native,full-time,40,12,12,technician,manufacturing,black,often,,Brainstorming/Ideation,,2025-12-19T20:05:13.652Z
