participantId,experimentId,strategy1,strategy2,strategy3,strategy4,strategy5,strategy6,strategy7,strategy8,strategy9,strategy10,newStrategyConfidence,implementationLikelihood,thinkingChange,completedAt
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,Prepared notes.,Prepared and distributed an agenda.,Took minutes.,Keep time of meeting to a minimum,,,,,,,5,5,2,2025-12-22T11:02:41.412Z
5648e4bf20453f0012c5ad3a,JLMJnVsaQtUelZo1V6cr,People had time in their calendars,People were sent the invite well ahead of time,People had an agenda,Clear timetabling was set,Accompanying documents were shared with the invite ,Otter.ai was used to record then document the meeting to share later,"Relevant people - I thought that was a given anyway, but will include it.",,,,6,6,3,2025-12-23T12:05:46.237Z
5752e09ecd7e970007bd76df,o6sKo0BAvvbbc4VFMDbo,Organisation,Time Keeping,Being clear on purpose ,Sharing an agenda prior to the meeting ,Offer a pre-reading or briefing so everyone is aware of the topics ,Invite key people only to the meeting,,,,,5,5,4,2025-12-22T11:13:33.674Z
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,Set an agenda,Consider carefully who should be invited,make sure it starts on time,encourage interactions from all members,send out minutes with clear action points,,,,,,5,5,5,2025-12-23T09:40:04.053Z
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,listed the order I would conduct the meeting,Ensured it was set for a time that everyone could attend,had my manager sit in as I had just became Team Leader so he could prompt me if I needed it,,,,,,,,6,3,4,2025-12-23T12:04:57.142Z
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,positive attitude ,plan ahead and involve everybody ,,,,,,,,,7,4,5,2025-12-22T22:16:25.633Z
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,Inviting the right people,Setting a timed agenda,Sticking to the agenda and not allowing deviations,Following up with notes ,Using technology like AI notetaking to capture actions,Survey attendees or ask for feedback on recurring meetings,,,,,5,6,4,2025-12-22T14:23:11.182Z
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,There was a call for agenda items before the meeting happened.,I spoke with the different groups of people to ensure that everyone who was needed could make it,I took notes for the meeting,I asked individual people for their input,Send out the notes/minutes from the meeting,Ask for feedback,,,,,6,6,2,2025-12-19T19:26:07.586Z
5a7f22ec0f1bce000121ef95,GGrIPEYz74MBx1bbEWXt,Suitable space,Documentation & minutes,Comfortable heat,Drinks,Attendees have a list of all thats going to be discussed and voted on,Ensure only those relevant to the meeting & discussions attend,Ensure the agenda is adhered too,Ensure the minutes are distributed shortly afterwards,,,6,7,5,2025-12-22T09:48:28.785Z
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,Better agenda,Stick to timings,Is the meeting worth it,Is there an objective to the meeting,Will we get a clear action plan ,,,,,,6,5,6,2025-12-22T08:17:04.213Z
5aeb5c9f0f8859000190a19b,wQFIEdjp0lIUQ2f8DRcH,pomodoro,multiple speakers,mix of interactive and listening tasks,carefully selecting meeting attendees,,,,,,,7,7,6,2025-12-22T12:30:11.385Z
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,Making an agenda,Sharing the agenda prior to the meeting,Asking for any other business to be shared prior to the meeting,,,,,,,,2,2,4,2025-12-23T07:37:27.962Z
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,Planning the meeting agenda,Communicating the purpose of the meeting to attendees ahead of time,"Be clear about the expected attendance, punctuality and length of meeting",Ensure that minutes and follow-up is sent out promptly after the meeting,,,,,,,6,6,5,2025-12-22T10:36:58.044Z
5be742dd0e366e000175c8ba,71Zltxc5R2hi5iLHJlCe,Ensured I covered all of the topics in great detail,Kept it simple and to the point,encouraged questions to be asked at the end of the meeting,Ensure I only invite the people I need to,Consider the cost of meetings before I hold them,Think about the broader implications for the company when the meeting is being held,,,,,5,5,4,2025-12-22T18:16:37.947Z
