participantId,experimentId,strategy1,strategy2,strategy3,strategy4,strategy5,strategy6,strategy7,strategy8,strategy9,strategy10,confidence,approachClarity,challenges,completedAt
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,Prepared notes.,Prepared and distributed an agenda.,Took minutes.,,,,,,,,7,7,I did not experience any challenges. Everything went smoothly and the meeting ran effectively.,2025-12-22T10:26:13.081Z
5648e4bf20453f0012c5ad3a,JLMJnVsaQtUelZo1V6cr,People had time in their calendars,People were sent the invite well ahead of time,People had an agenda,Clear timetabling was set,Accompanying documents were shared with the invite ,Otter.ai was used to record then document the meeting to share later,,,,,6,6,"1. Otter ai was a pain as it took several goes to work properly. 
2. Some people didn't read the documents, so were completely off topic.
3. The meeting overan by 15 minutes",2025-12-23T11:21:36.468Z
5752e09ecd7e970007bd76df,o6sKo0BAvvbbc4VFMDbo,Organisation,Time Keeping,Being clear on purpose ,Sharing an agenda prior to the meeting ,Offer a pre-reading or briefing so everyone is aware of the topics ,,,,,,6,7,"Keeping to time, there was a lot that needed to be covered and a lot of the people who attended the meeting wanted to speak and contribute. I wanted everyone to feel like that had an opportunity to contribute which made it challenging to keep to time and make sure everything was covered.",2025-12-22T10:43:06.445Z
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,Set an agenda,,,,,,,,,,5,6,"Getting people to stick to the agenda and not raise unrelated points, which wasted time",2025-12-23T09:08:34.048Z
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,listed the order I would conduct the meeting,Ensured it was set for a time that everyone could attend,had my manager sit in as I had just became Team Leader so he could prompt me if I needed it,,,,,,,,5,5,Unexpected questions from team members that I wasn't prepared for,2025-12-23T11:38:51.600Z
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,positive attitude ,,,,,,,,,,6,6,"none, it went well",2025-12-22T21:46:48.186Z
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,Inviting the right people,Setting a timed agenda,Sticking to the agenda and not allowing deviations,Following up with notes ,,,,,,,6,6,"Some points needed deviation and follow up, however this didn't require everyone in the meeting to go through. It was agreed anyone impacted would arrange a seperate call to discuss the deviation and feed back",2025-12-22T13:47:08.689Z
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,There was a call for agenda items before the meeting happened.,I spoke with the different groups of people to ensure that everyone who was needed could make it,I took notes for the meeting,I asked individual people for their input,,,,,,,6,6,"It was an online meeting and there was one individual who had trouble with their microphone and camera.  A few other times, people spoke over each other.",2025-12-19T19:00:25.449Z
5a7f22ec0f1bce000121ef95,GGrIPEYz74MBx1bbEWXt,Suitable space,Documentation & minutes,Comfortable heat,Drinks,Attendees have a list of all thats going to be discussed and voted on,,,,,,6,7,One person was 30 minutes late. Building work causing noise & distraction.,2025-12-22T09:22:34.283Z
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,Better agenda,Stick to timings,,,,,,,,,7,6,That the meeting moved away from the agenda with a limited amount of time.,2025-12-22T07:51:10.503Z
5aeb5c9f0f8859000190a19b,wQFIEdjp0lIUQ2f8DRcH,pomodoro,multiple speakers,mix of interactive and listening tasks,,,,,,,,7,7,"One of the interactive tasks was slow to start, but worked well once it did.",2025-12-22T12:04:05.944Z
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,Making an agenda,Sharing the agenda prior to the meeting,Asking for any other business to be shared prior to the meeting,,,,,,,,6,7,Not everyone had read the agenda which led to silly questions being asked.,2025-12-23T07:11:12.909Z
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,Planning the meeting agenda,Communicating the purpose of the meeting to attendees ahead of time,,,,,,,,,6,5,It was difficult to fully demonstrate what I was trying to teach and allow users to test it out as it was a remote meeting via Teams,2025-12-22T10:09:29.380Z
5be742dd0e366e000175c8ba,71Zltxc5R2hi5iLHJlCe,Ensured I covered all of the topics in great detail,Kept it simple and to the point,encouraged questions to be asked at the end of the meeting,,,,,,,,5,6,I feel as though some of the people in the meeting lacked concentration and zoned out about what I was trying to say. I also had the usual tech issues with teams not working correctly etc.,2025-12-22T17:49:23.960Z
5bffcca24f73310001c5597a,kEfUmFTlshuKekkytl9k,Wrote an agenda,Emailed those attending to add anything to the agenda,Booked a meeting room,Sent out invites to attendees,Printed any notes needed for the meeting,Mentally prepared for what I was going to say and how to deliver it,,,,,7,7,"We are required to cover the phones whilst in meetings, so it can be difficult to ensure the phones are covered and eveyone gets the same amount of information.",2025-12-23T10:48:11.633Z
5c4277ac1242910001bdbf1a,E6q3NXOWu8Pi6ThLaA8U,Clear agenda,Clear goals,Clear timetable that is followed,,,,,,,,4,5,"Some of the challenges I experienced were getting people to ""buy in"" during the meeting, as people are always thinking that meetings ""could have been an email"".",2025-12-19T22:41:22.067Z
5c509487172b6c0001779b34,7PzgmGQT1E6rL3cSujpR,Collaboration,Note taking,Horizon scanning,,,,,,,,6,6,Everyone was talking about the issue at hand rather than how it can be solved it made it quite a challenging meeting.,2025-12-22T12:16:58.834Z
5c86d5a58085800016135bd2,S7zaq6LMWGcLOfiTdxYa,Clear agenda,,,,,,,,,,6,6,Technical issues with MS Teams,2025-12-22T13:50:17.877Z
5ca62a239ffcce0001036b6b,fgtNvJcdmFDcy2mXVxJS,Used a hybrid model whereby invitees could dial in online or attend a room to attend the meeting,Turned on auto-captions to help those with hearing difficulties,Ensured minutes were sent to attendees,Set up an anonymous chat for attendees to raise concerns without the need to address the group,,,,,,,6,6,Some attendees were disengaged at a meeting which was supposed to be for airing and addressing concerns about an ongoing project,2025-12-22T11:47:16.709Z
5cd4ad19f014930017d35d6a,h1ujA85ksEDNldOgpihQ,Pre-Meeting Prep (Agenda),Start/end on time. Use action questions. Assign timekeeper/notetaker.,Log decisions/owners/deadlines in shared tool. Email summary.,,,,,,,,5,5,"Minimal challenges arose: slight time overrun on agenda item 2 due to detailed Q&A, and one remote participant had brief audio lag.
​

Key Issues
Agenda flexibility needed for deeper discussions on client report timelines.
​

Tech glitches common in hybrid setups, resolved quickly by switching to chat.
​

Resolution
Quick adjustments kept momentum; post-meeting notes clarified unresolved points.",2025-12-22T10:29:36.705Z
5cdd11ab4ea13d0001a5c036,Zf4gbNKA4bWgvFtVcino,Teamwork,Collaboration ,Listening,,,,,,,,6,6,My meeting was a feedback session with employees at work. It is hard to get people talking openly abd honeatly,2025-12-22T15:26:44.848Z
5cde02d000d670000184ea3b,xkB7yNDPV8izBOyVepVK,Creating an agenda,Soliciting feedback,Using devil's advocate strategy when coming to group decisions,Preparing notes,Referring to past meeting notes,Creating a demonstration for proposed ideas,Breaking down portions of the meeting to be led by others,,,,5,6,"Some did not openly share their opinions, which was of concern to me.",2025-12-20T22:19:41.315Z
5d09edb73d40080001655677,YEkRsyRuKQYfcAMN1YEZ,Visual facilitation,Engagement with all participants,Picked a time of day free from distraction,Set a clear agenda,Did some of the work ahead of the meeting,,,,,,5,7,"Being close to the holidays and having recently passed a significant project milestone, it is generally difficult to engage the team for long periods",2025-12-22T15:01:31.317Z
5d67ed161976cc0019cc8a10,Ih7tdA6qZrd7T4M6YP6k,publicise timely agenda and calendar invites. online minutes and actions,in persn and Teams,Strict time constraints,,,,,,,,5,6,Some of the team were off sick so could not attend,2025-12-22T07:59:35.319Z
5d94ce7b72b4550016906484,dDdGEGVKBtdWookJEkg8,created agenda that everyone could contribute to and read ahead to ensure the meeting ran efficiently,,,,,,,,,,6,6,"Aspects of the meeting not relevant to all staff, some staff jumping in to talk about things that were not on the agenda",2025-12-22T08:53:42.410Z
5d9b7c7efaa2860364b16476,NpggUHSCfGD0L17YoCDF,I provide all necessary information to all the member of the meeting. It helps all of us to get  an idea about the meeting and the purpose of the meeting. ,,,,,,,,,,6,6,Some people are not attentive while the meeting going on.,2025-12-19T20:22:58.142Z
5d9cb58ee8783f0019c8bd06,FBf7zX7qdgQVYScqFw5A,I setted Set a clear agenda ,I defined meeting objectives and expected outcomes,,,,,,,,,7,5,"i noticed some participants needed more time to prepared for the agenda of the meeting, which led to extended discussions. Time management was a challenge, and a few topics required follow up outside the meeting.",2025-12-19T22:50:17.617Z
5da78f61a60c0d0017d6ed89,foGpA2pxSBu3daJJxMfx,Listed everything relavant that I wanted to discuss to make thing easy to follow,Created a power point presentation,,,,,,,,,7,7,I did not experience any challenges or difficulties,2025-12-22T21:36:09.522Z
5dcf14459595a105c52cd304,eEgicFZryM2qwheeB8eS,Planning,Organising,Liaising with parents,Using technology,Sending documents in advance,,,,,,7,7,The meeting overran because of parents discussing their children's needs and difficulties. It was hard to wrap it up. This was the main challenge.,2025-12-22T09:42:00.397Z
5dd9a7ff98981d926df9ea18,ojTh9UyW1Th8mezo0FCS,Active Engagement,,,,,,,,,,7,7,"I think bringing the conversation back on track when colleagues went off rail into random other subjects, alongside getting my point across as concisely as possible in easy to understand terms.",2025-12-22T06:08:04.982Z
5e1f06e67a9ded238481246e,kzOTLQe4Yc3fqXTmNWWO,Set a clear agenda,Set 3 achievable objectives,Started and ended on time,Sent follow up notes and actions,,,,,,,6,6,Keeping participants on time and concise in their areas,2025-12-23T11:09:12.876Z
5e299d8c2e9dc4000be0fde0,XL4wVgjnJj7j6UKbTmba,Pre gathered potential requirements,Took Notes,Set an agenda,Ensure only those neccesary to attend were invited,,,,,,,7,7,"The only real challenge was that despite an agenda, topics quite often went off discussion",2025-12-22T12:29:52.949Z
5e3c29ac4c3831000c5bdb68,mg8QWlX06oYDKZNeRoeN,Focus,,,,,,,,,,7,7,No challenges or difficulties it went smoothly everyone remained focus and knew what was was required,2025-12-23T10:54:34.172Z
5e6155e6f169c0046b6d6518,ew0Oi3X4BB6UNYa4GUKE,Made a plan,Rehearsed my talking points,"Distributed materials (e.g., list of discussion topics) before the meeting ",,,,,,,,6,7,"The meeting went smoothly enough. Some topics came up that were not ones that I had originally planned to discuss. However, I always include ""flex-time"" in my plans for things like this so it wasn't a huge problem.",2025-12-21T14:41:19.839Z
5e64da5ac34e832466061bf8,GdJwiwyTaSBT2HItDAPp,Active Listening,Come with a plan,Leave with a plan,,,,,,,,6,7,"A few people arrived some minutes late, requiring a bit of adjustment in order to accommodate them",2025-12-22T12:23:14.718Z
5e6e6497d33339419afd90f9,oeqjHjqWfisY0QbOLLJr,more interaction using technology,,,,,,,,,,4,4,It took a while to boot up the software on the computer,2025-12-22T10:16:27.371Z
5e7ca836a60b642ec70880b1,O1vwITchcMOre9N357JN,Discussing objectives beforehand,Sending out the meeting plan beforehands,,,,,,,,,6,7,There were no challenges or difficulties during this meeting.,2025-12-22T19:26:25.758Z
5e7dd5b90923ad0009f80bbc,e8GmJ0XvFC9gwL9pJiQ0,Group brain storm,,,,,,,,,,7,7,Getting everyone to contribute equally was a challenge,2025-12-22T11:39:53.899Z
5e8307bae3b23d01d2259e4c,QgJYPhvOEOMISCOj5dIJ,i dont lead meetings not in my role,,,,,,,,,,1,1,nit had any meetings,2025-12-22T06:44:37.344Z
5e83425144753905a3a17ad8,S0RsN8X0DUDMEDyIhgQU,Open discussion to bring up any missing points,Inventory count for year end requirements,Availability of staff for the count,Last production dates,Last delivery to customer dates,,,,,,6,6,"no challenges, annual meeting",2025-12-22T10:16:08.840Z
5e999a581e025f1cfd5e7090,ZcGlYrnGNXwVDg4CGitT,pre planning,ai follow up notes from recording meeting,,,,,,,,,5,4,lots of different voices so hard to come to a conclusion,2025-12-22T12:39:01.662Z
5ea9cc9195f36c126a27d0a7,X5JJzlgugqu87nJAyj34,Communication and Engagement Strategy,Encourage participation from colleagues,Used powerpoint deck that was shared,Sent agenda beforehand,Only invited people who needed to be there,,,,,,7,7,There were no challenges as this meeting was an update of the comms and engagement strategy which I lead on.,2025-12-22T08:49:30.609Z
5eb7c006b839846ea7a24178,ASH0R0O6bfOtJuGTcX0n,Solicited input from team members,Composed a draft agenda,Got feedback on my draft agenda,Incorporated feedback,Finalized agenda,,,,,,7,7,I did not encounter challenges. The meeting started on time and ended on time. We covered each item on the agenda.,2025-12-20T12:17:07.177Z
