participantId,experimentId,reading_id,totalEvents,duration,focusTime_reading,focusTime_chat,focusTime_video,focusTime_audio,focusTime_infographics,reading_count,reading_totalDuration,scanning_count,scanning_totalDuration,scrolling_count,scrolling_totalDuration
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,5KDdz1P54XXss53O8N2e_reading,122,1794023,1166876,627138,0,0,0,31,945269,17,59731,41,25373
5648e4bf20453f0012c5ad3a,JLMJnVsaQtUelZo1V6cr,JLMJnVsaQtUelZo1V6cr_reading,219,2456556,369556,2042890,0,16504.0,27591.0,25,247451,15,56314,62,31963
5752e09ecd7e970007bd76df,o6sKo0BAvvbbc4VFMDbo,o6sKo0BAvvbbc4VFMDbo_reading,201,1466390,1466389,0,0,0,0,28,1177445,14,40966,160,80233
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,xWKQl56xQiefk0Xxt7V6_reading,130,1531600,897080,634389,0,0,0,25,753531,9,27731,79,39085
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,LpG8YZGE1WWLWQEeosfW_reading,64,1447272,172535,174616,998450.0,94203.0,7448.0,6,140419,2,6766,26,9171
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,nTab7jOzRHjolAQjq9h7_reading,262,1417902,1400887,16932,0,0,0,55,1149905,27,81466,109,60879
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,jCBKV3EamMMO3Czt2vWS_reading,245,1661251,1326238,334973,0,0,0,18,1084953,13,37130,164,70040
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,Wv5EruGYDP0p9jtKO33l_reading,102,1319931,513586,323689,134773.0,536.0,347335.0,22,447503,8,30794,29,12595
5a7f22ec0f1bce000121ef95,GGrIPEYz74MBx1bbEWXt,GGrIPEYz74MBx1bbEWXt_reading,60,1279868,1279868,0,0,0,0,41,995027,9,30448,18,7758
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,1odnJgCRuwmc886z6Jva_reading,103,1324025,1143874,180140,0,0,0,31,1056863,8,26217,35,15897
5aeb5c9f0f8859000190a19b,wQFIEdjp0lIUQ2f8DRcH,wQFIEdjp0lIUQ2f8DRcH_reading,61,1272310,1272310,0,0,0,0,33,974432,6,19178,27,15020
5b490bd59afec90001009679,csTlf2981LtcpzE2heGv,csTlf2981LtcpzE2heGv_reading,84,1444795,412137,1032639,0,0,0,15,297521,19,65637,41,21289
5ba937d53c7a050001992e80,irynvOnl02CL1jqbROjF,irynvOnl02CL1jqbROjF_reading,86,1448915,1425399,23510,0,0,0,25,1323092,2,7164,35,14417
5be742dd0e366e000175c8ba,71Zltxc5R2hi5iLHJlCe,71Zltxc5R2hi5iLHJlCe_reading,69,1280911,1276957,3945,0,0,0,12,974396,9,28385,51,13279
5bffcca24f73310001c5597a,kEfUmFTlshuKekkytl9k,kEfUmFTlshuKekkytl9k_reading,192,1370030,1030205,6733,139200.0,154565.0,39327.0,52,811943,29,101181,110,43345
5c4277ac1242910001bdbf1a,E6q3NXOWu8Pi6ThLaA8U,E6q3NXOWu8Pi6ThLaA8U_reading,165,1353063,781482,571542,0,0,0,27,643275,15,54904,67,40858
5c509487172b6c0001779b34,7PzgmGQT1E6rL3cSujpR,7PzgmGQT1E6rL3cSujpR_reading,61,1318454,737071,581375,0,0,0,18,674521,7,22394,26,8913
5c86d5a58085800016135bd2,S7zaq6LMWGcLOfiTdxYa,S7zaq6LMWGcLOfiTdxYa_reading,153,1921378,1267868,653480,0,0,0,10,1167944,5,15943,93,35821
5ca62a239ffcce0001036b6b,fgtNvJcdmFDcy2mXVxJS,fgtNvJcdmFDcy2mXVxJS_reading,82,1309058,119387,98514,166420.0,699786.0,224939.0,6,44950,8,26266,38,14799
5cd4ad19f014930017d35d6a,h1ujA85ksEDNldOgpihQ,h1ujA85ksEDNldOgpihQ_reading,20,1469475,1445022,3904,15572.0,4973.0,0,4,1297065,3,12532,12,5731
