participantId,experimentId,nasaTLX_mentalDemand,nasaTLX_physicalDemand,nasaTLX_temporalDemand,nasaTLX_effort,nasaTLX_frustration,selfEfficacy_performance,selfEfficacy_overallGoal,selfEfficacy_authorsReasoning,selfEfficacy_connectingIdeas,selfEfficacy_ownIdeas,selfEfficacy_alternativePerspectives,selfEfficacy_verifyCredibility,selfEfficacy_questionClaims,selfEfficacy_broaderImplications,llmUsefulness_overall,llmUsefulness_conceptHelp,llmUsefulness_findingsHelp,llmUsefulness_practicalHelp,llmUsefulness_timeSaving,llmTrust_competence,llmTrust_accuracy,llmTrust_benevolence,llmTrust_reliability,llmTrust_comfortActing,llmTrust_comfortUsing,attentionCheck_focus,attentionCheck_stronglyDisagreeCheck,demographics_age,demographics_gender,demographics_education,demographics_englishProficiency,demographics_workingSituation,demographics_workHoursPerWeek,demographics_yearsInOrganization,demographics_yearsInJob,demographics_jobTitle,demographics_industry,demographics_ethnicity,aiUsage_frequency,aiUsage_toolsUsed,aiUsage_purposes,studyFeedback,surveyCompletedAt
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,5,1,1,5,1,6,6,6,6,5,3,4,6,5,1,1,1,1,1,4,4,1,2,4,4,5,1,41,female,bachelor,native,full-time,38,7,6.5,Business Support Manager,IT,white,sometimes,ChatGPT,Research/Information gathering,,2025-12-22T11:07:18.589Z
5648e4bf20453f0012c5ad3a,JLMJnVsaQtUelZo1V6cr,6,3,3,6,2,7,7,7,7,6,4,5,4,6,6,6,5,5,3,5,5,6,4,3,3,5,1,54,female,master,native,full-time,40,6,6,Tenders and Awards Manager,STEM,white,very-often,Chat GPT,"Research/Information gathering, Writing assistance, Brainstorming/Ideation",Good luck with your study! And Merry Christmas. There's some fun 'meeting' cracker-style jokes in the Ai transcript.,2025-12-23T12:09:30.622Z
5752e09ecd7e970007bd76df,o6sKo0BAvvbbc4VFMDbo,6,1,3,6,2,6,6,7,6,4,2,5,6,5,,,,,,,,,,,,5,1,30,male,master,native,full-time,38,2,2,Lecturer,Education,white,often,ChatGPT,"Writing assistance, Research/Information gathering, Coding assistance, Summarization",,2025-12-22T11:16:13.902Z
5805db219ff6120001a135a2,xWKQl56xQiefk0Xxt7V6,5,3,3,5,4,5,6,5,5,5,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,1,49,male,bachelor,native,full-time,36,7,6.5,Teacher,Education,white,often,"ChatGPT, Claude,","Writing assistance, Brainstorming/Ideation",,2025-12-23T09:42:57.552Z
594dd3de0dd7710001aeb5e9,LpG8YZGE1WWLWQEeosfW,5,2,1,6,1,4,5,3,4,4,3,3,2,4,6,7,4,4,6,6,5,5,3,4,4,4,1,43,female,high-school,native,full-time,40,5,2,Team Leader,Gaming,white,very-often,chat gpt,"Writing assistance, Research/Information gathering, Brainstorming/Ideation",,2025-12-23T12:06:47.951Z
59b15324e79873000148879d,nTab7jOzRHjolAQjq9h7,4,1,1,7,3,7,7,7,7,4,1,4,4,7,1,1,1,1,1,4,4,4,4,4,2,5,1,34,male,high-school,native,full-time,40,3,17,plasterer ,construction ,white,rarely,"chatGPT, gemini","Summarization, Translation, Brainstorming/Ideation",,2025-12-22T22:21:55.676Z
59dbd41ac0d35a0001294aa0,jCBKV3EamMMO3Czt2vWS,5,1,2,5,2,4,6,6,6,6,5,6,5,6,7,4,6,6,5,5,6,4,3,3,3,5,1,32,female,associate,native,full-time,37,0,0,Associate Director,PR,white,sometimes,Gemini pro,"Research/Information gathering, Summarization",n/a - thanks!,2025-12-22T14:26:17.384Z
5a068d5b074b190001251791,Wv5EruGYDP0p9jtKO33l,2,1,1,7,1,7,7,7,7,6,2,6,6,6,5,4,4,6,2,7,7,7,3,5,5,5,1,42,male,bachelor,native,full-time,140,18,7,Project Manager,Education,white,often,"ChatGPT, Copilot, and Gemini","Writing assistance, Research/Information gathering, Brainstorming/Ideation, Summarization",,2025-12-19T19:28:08.565Z
5a7f22ec0f1bce000121ef95,GGrIPEYz74MBx1bbEWXt,4,1,1,6,1,6,7,7,7,6,2,6,6,7,,,,,,,,,,,,5,1,62,female,bachelor,native,full-time,50,15,15,Event Manager,Events & Catering,white,often,ChatGPT,"Writing assistance, Research/Information gathering, Summarization",Actually really helpful and I shall implement some of the ideas and statements given in my own meetings to improve them - thanks!,2025-12-22T09:51:42.153Z
5ade558c066c510001d43615,1odnJgCRuwmc886z6Jva,4,3,2,5,1,6,7,6,7,6,5,7,2,5,1,1,1,1,1,3,3,2,2,4,3,4,1,42,male,high-school,native,full-time,40,17,1,Supplier performance analyst,Retail,white,sometimes,Gemini,Research/Information gathering,,2025-12-22T08:18:54.030Z
