participantId,experimentId,segment_index,tab,start_ms,end_ms,duration_ms
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,0,reading,1766399182278.0,1766399316851.0,134573.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,1,chat,1766399316851.0,1766399340594.0,23743.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,2,reading,1766399340594.0,1766399550007.0,209413.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,3,chat,1766399550007.0,1766399610747.0,60740.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,4,reading,1766399610747.0,1766399617123.0,6376.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,5,chat,1766399617123.0,1766399618038.0,915.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,6,reading,1766399618038.0,1766399625152.0,7114.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,7,chat,1766399625152.0,1766399766174.0,141022.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,8,reading,1766399766174.0,1766399843036.0,76862.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,9,chat,1766399843036.0,1766399902726.0,59690.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,10,reading,1766399902726.0,1766400340650.0,437924.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,11,chat,1766400340650.0,1766400402874.0,62224.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,12,reading,1766400402874.0,1766400593130.0,190256.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,13,chat,1766400593130.0,1766400593347.0,217.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,14,reading,1766400593347.0,1766400594603.0,1256.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,15,chat,1766400594603.0,1766400728177.0,133574.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,16,reading,1766400728177.0,1766400728300.0,123.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,17,chat,1766400728300.0,1766400728416.0,116.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,18,reading,1766400728416.0,1766400733285.0,4869.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,19,chat,1766400733285.0,1766400824152.0,90867.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,20,reading,1766400824152.0,1766400825036.0,884.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,21,chat,1766400825036.0,1766400878803.0,53767.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,22,reading,1766400878803.0,1766400880241.0,1438.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,23,chat,1766400880241.0,1766400880507.0,266.0
5537b204fdf99b51eefed679,5KDdz1P54XXss53O8N2e,24,reading,1766400880507.0,1766400976301.0,95794.0
5648e4bf20453f0012c5ad3a,JLMJnVsaQtUelZo1V6cr,0,reading,1766488906419.0,1766488935585.0,29166.0
5648e4bf20453f0012c5ad3a,JLMJnVsaQtUelZo1V6cr,1,chat,1766488935585.0,1766488936609.0,1024.0
5648e4bf20453f0012c5ad3a,JLMJnVsaQtUelZo1V6cr,2,audio,1766488936609.0,1766488952236.0,15627.0
5648e4bf20453f0012c5ad3a,JLMJnVsaQtUelZo1V6cr,3,reading,1766488952236.0,1766488953019.0,783.0
5648e4bf20453f0012c5ad3a,JLMJnVsaQtUelZo1V6cr,4,audio,1766488953019.0,1766488953896.0,877.0
