Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69459a69d7b6d7086cb3fa51,694555b4beadda60a5901ec0,AWAITING REVIEW,Not Applicable,2025-12-19T18:33:16.837000Z,2025-12-19T19:05:21.713000Z,,2025-12-19T19:05:22.060516Z,1925.0,CNST1ELE,2,29,Male,Black,United States,United States,United States,English,No,Full-Time
69459aa8019473d8fccbd16d,65b8b2bf8b3905b0efcb0fd3,AWAITING REVIEW,Not Applicable,2025-12-19T18:35:15.504000Z,2025-12-19T19:33:25.690000Z,,2025-12-19T19:33:26.030898Z,3491.0,CNST1ELE,1036,49,Male,White,Slovenia,United States,United States,English,Yes,Full-Time
69459d11e5088e5640f3ba1a,66d921d24ea620ae6b29d74b,AWAITING REVIEW,Not Applicable,2025-12-19T18:44:39.097000Z,2025-12-19T20:05:25.247000Z,,2025-12-19T20:06:06.000328Z,4847.0,CNST1ELE,1889,60,Female,Black,United States,United States,United States,English,No,Full-Time
69459db968064093f17e02c1,5f4ae7cb6b68b56c2acb12c8,AWAITING REVIEW,Not Applicable,2025-12-19T18:47:25.813000Z,2025-12-19T19:32:08.020000Z,,2025-12-19T19:32:08.414133Z,2683.0,CNST1ELE,1694,45,Female,White,United States,United States,United States,English,No,Full-Time
69459e6aaf16ffc1fbcdf941,6740b01583cadef1afebeb9d,AWAITING REVIEW,Not Applicable,2025-12-19T18:50:24.826000Z,2025-12-19T19:25:18.454000Z,,2025-12-19T19:25:18.813747Z,2094.0,CNST1ELE,613,37,Male,Black,United States,United States,United States,English,No,Full-Time
69459ecd5defea5e83fc00e1,672eeebde600098b4b65d4a8,AWAITING REVIEW,Not Applicable,2025-12-19T18:52:07.405000Z,2025-12-19T19:32:30.007000Z,,2025-12-19T19:32:30.352917Z,2423.0,CNST1ELE,1492,63,Female,White,United States,United States,United States,English,Yes,Full-Time
6945a04d242bfcdf46051dc1,5a068d5b074b190001251791,AWAITING REVIEW,Not Applicable,2025-12-19T18:58:25.838000Z,2025-12-19T19:28:25.556000Z,,2025-12-19T19:28:25.978950Z,1800.0,CNST1ELE,1735,42,Male,White,United States,United States,United States,English,No,Full-Time
6945a2187b28799a0adbe74b,678850e350af39b7032dd102,AWAITING REVIEW,Not Applicable,2025-12-19T19:06:42.032000Z,2025-12-19T19:50:47.741000Z,,2025-12-19T19:50:48.082857Z,2646.0,CNST1ELE,1070,43,Female,White,United States,United States,United States,English,No,Full-Time
6945a32dc6fbb543b9f1b012,66708fa4dfe022dbed4cae9c,AWAITING REVIEW,Not Applicable,2025-12-19T19:10:40.277000Z,2025-12-19T20:03:52.082000Z,,2025-12-19T20:03:52.447474Z,3192.0,CNST1ELE,356,22,Female,Mixed,United States,United States,Lao People's Democratic Republic,English,Yes,Full-Time
6945a3c1f35fefed78f86dc3,66beb7a1951f8a18b03cd9c5,AWAITING REVIEW,Not Applicable,2025-12-19T19:13:22.331000Z,2025-12-19T20:06:19.565000Z,,2025-12-19T20:06:19.909927Z,3178.0,CNST1ELE,626,22,Male,White,United States,United States,United States,English,Yes,Full-Time
6945a519a6a3a8d695065dcf,692c55a22b643604a1e5b2b7,AWAITING REVIEW,Not Applicable,2025-12-19T19:20:11.974000Z,2025-12-19T19:50:10.105000Z,,2025-12-19T19:50:10.473711Z,1799.0,CNST1ELE,115,30,Male,White,United States,United States,United States,English,No,Full-Time
6945a54fafc946537a53aa56,67ab5b2e65c4823c805570d4,AWAITING REVIEW,Not Applicable,2025-12-19T19:28:43.751000Z,2025-12-19T21:02:35.112000Z,,2025-12-19T21:40:48.120628Z,5632.0,CNST1ELE,739,61,Female,White,United States,United States,United States,English,No,Full-Time
6945a66e044ac6d7cb9202e3,64012ee6e3f2e59aaa36f718,AWAITING REVIEW,Not Applicable,2025-12-19T19:25:12.666000Z,2025-12-19T20:10:45.562000Z,,2025-12-19T20:10:45.906874Z,2733.0,CNST1ELE,873,27,Female,Black,United States,United States,United States,English,No,Full-Time
6945a6a776264acf96de53c7,672501c7bc2f7f52114f2a5e,AWAITING REVIEW,Not Applicable,2025-12-19T19:25:33.231000Z,2025-12-19T20:03:12.752000Z,,2025-12-19T20:03:43.662618Z,2260.0,CNST1ELE,884,60,Female,White,United States,United States,United States,English,No,Full-Time
6945a8b8e3518f0a99527f16,66b2c7262f4631f5eea8e729,AWAITING REVIEW,Not Applicable,2025-12-19T19:34:21.165000Z,2025-12-19T20:33:10.789000Z,,2025-12-19T20:33:11.165205Z,3530.0,CNST1ELE,950,28,Female,Black,United States,United States,United States,English,Yes,Full-Time
6945a900a54c767520dd5081,67449b2d46dfbc02a0f083b3,AWAITING REVIEW,Not Applicable,2025-12-19T19:44:27.025000Z,2025-12-19T20:35:53.549000Z,,2025-12-19T20:35:53.917619Z,3087.0,CNST1ELE,790,47,Male,White,United States,United States,United States,English,No,Full-Time
6945a9406e13df632b53ff89,6724d3673a5391f6e028d659,AWAITING REVIEW,Not Applicable,2025-12-19T19:36:41.188000Z,2025-12-19T20:16:47.023000Z,,2025-12-19T20:16:47.421647Z,2406.0,CNST1ELE,1384,71,Female,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6945a9c05f1208ebfa82906c,67e80fd6ef19882569cf49d3,AWAITING REVIEW,Not Applicable,2025-12-19T19:38:47.615000Z,2025-12-19T20:15:05.626000Z,,2025-12-19T20:15:05.973681Z,2179.0,CNST1ELE,843,52,Female,White,United States,United States,United States,English,No,Full-Time
6945aa4c6d3ff8283566945b,6727e176e5f011b020a6a2db,AWAITING REVIEW,Not Applicable,2025-12-19T19:41:13.302000Z,2025-12-19T20:10:47.039000Z,,2025-12-19T20:10:47.386071Z,1774.0,CNST1ELE,1060,34,Male,White,United States,United States,United States,English,No,Full-Time
6945b3820c2ae3a0b76a34b1,5d9b7c7efaa2860364b16476,AWAITING REVIEW,Not Applicable,2025-12-19T20:20:22.132000Z,2025-12-19T20:51:29.231000Z,,2025-12-19T20:51:29.617449Z,1868.0,CNST1ELE,1802,36,Male,White,United States,United States,United States,English,No,Full-Time
6945b39c6fd53270ca4ddc9a,675a69d88d29359682bcd4ec,AWAITING REVIEW,Not Applicable,2025-12-19T20:20:48.488000Z,2025-12-19T20:59:35.036000Z,,2025-12-19T20:59:35.399148Z,2327.0,CNST1ELE,1855,52,Female,White,United States,United States,United States,English,No,Full-Time
6945b3f1c057c74136f1b6df,66a819b2c3eb66cffc47e808,AWAITING REVIEW,Not Applicable,2025-12-19T20:22:13.581000Z,2025-12-19T20:56:26.279000Z,,2025-12-19T20:56:26.636577Z,2053.0,CNST1ELE,1783,41,Female,White,United States,United States,United States,English,No,Full-Time
6945b59e62053618ce1a96ac,6722ceb13a02b06603b7b285,AWAITING REVIEW,Not Applicable,2025-12-19T20:30:39.889000Z,2025-12-19T21:10:57.812000Z,,2025-12-19T21:11:13.540115Z,2418.0,CNST1ELE,1781,45,Female,Black,United States,United States,United States,English,No,Full-Time
6945b9035b6a23f33633f3df,65706b89d4c6c32963d258e8,AWAITING REVIEW,Not Applicable,2025-12-19T20:43:52.457000Z,2025-12-19T22:01:46.318000Z,,2025-12-19T22:01:46.657976Z,4674.0,CNST1ELE,455,65,Female,Black,United States,United States,United States,English,No,Full-Time
6945bd3d440de6eea7fbf6bc,68379f3fafa634a21d761586,AWAITING REVIEW,Not Applicable,2025-12-19T21:06:10.973000Z,2025-12-19T21:42:55.233000Z,,2025-12-20T08:59:36.065437Z,2205.0,CNST1ELE,1610,27,Male,White,United States,United States,United States,English,No,Full-Time
6945be0da8d2878f26fa59ae,654142b51c0cbebefa6f3ea0,AWAITING REVIEW,Not Applicable,2025-12-19T21:05:56.860000Z,2025-12-19T21:40:44.330000Z,,2025-12-19T21:40:44.693267Z,2088.0,CNST1ELE,1248,35,Female,White,United States,United States,United States,English,No,Full-Time
6945be27f0407a800a183222,66ba2139a67c5c99778a6766,AWAITING REVIEW,Not Applicable,2025-12-19T21:05:46.059000Z,2025-12-19T21:38:50.748000Z,,2025-12-19T21:38:51.121060Z,1985.0,CNST1ELE,188,29,Female,Asian,United States,United States,United States,English,No,Full-Time
6945c10ed2d826f914b9b7da,659d4aadab2eb6b7a8cffb07,AWAITING REVIEW,Not Applicable,2025-12-19T21:18:11.679000Z,2025-12-19T22:21:03.083000Z,,2025-12-19T22:21:03.428121Z,3772.0,CNST1ELE,444,51,Female,Black,United States,United States,United States,English,No,Full-Time
